#complex,groundtruth,simcomplex,simground,z3res,verificationtime
5*(y^(~x|(y&z)))-1*~(x&~y)-7*(~(x&~y)&(x^(y^z)))-11*~(x|(y|z))+1*~(x|(~y|z))-4*~(~x|(~y|z))-4*(~x&(~y&z))+8*(x&(y&z)),-7*~x+6*(~x&(y&z)),-7*~(x|(y|z))-7*~(x|(~y|z))-7*(~x&(~y&z))-1*(~x&(y&z)),-7*~(x|(y|z))-7*~(x|(~y|z))-7*(~x&(~y&z))-1*(~x&(y&z)),True,0.010404109954833984
1*(~x&(~y|z))-5*(y^~(~x&(y^z)))-2*(z|(x^y))+7*~(x|(~y|z))+7*~(~x|(y|z))+1*(~x&(y&z))+7*(x&(~y&z))+2*(x&(y&z)),-4*~(x|(y|z))-1*(~x&(~y&z)),-4*~(x|(y|z))-1*(~x&(~y&z)),-4*~(x|(y|z))-1*(~x&(~y&z)),True,0.009906768798828125
1*((x&z)^~(y&~z))+11*~(x|(y^z))+11*(~y&~(x^z))-1*((x^y)|(x^z))-23*~(x|(y|z))+1*~(x|(~y|z))+1*~(~x|(~y|z))-11*(~x&(y&z)),10*(x&(~y&z)),10*(x&(~y&z)),10*(x&(~y&z)),True,0.00966954231262207
-5*(z^(~x|(~y&z)))+1*~(x&(y^z))+4*~(x|(y|z))+2*~(x|(~y|z))-3*~(~x|(y|z))-3*(~x&(~y&z))-1*(~x&(y&z))+2*(x&(y&z)),-2*(x^(y^z)),-2*(x^(y^z)),-2*(x^(y^z)),True,0.009617805480957031
1*(~x|(y|z))+3*(y&(x|z))+5*~(x|(y|z))+5*~(x|(~y|z))+5*(~x&(~y&z))-4*(~x&(y&z))+5*(x&(~y&z))-4*(x&(y&z)),-2*~(~x|(~y|z))+6*(~(x|y)|(y^z)),6*~(x|(y|z))+6*~(x|(~y|z))+4*~(~x|(~y|z))+6*(~x&(~y&z))+6*(x&(~y&z)),6*~(x|(y|z))+6*~(x|(~y|z))+4*~(~x|(~y|z))+6*(~x&(~y&z))+6*(x&(~y&z)),True,0.010685920715332031
-1*(~(x|~y)|(y^z))-7*((x&y)|(y^z))+13*~(x|(~y|z))+8*~(~x|(~y|z))+8*(~x&(~y&z))+1*(~x&(y&z))+8*(x&(~y&z))+12*(x&(y&z)),5*(y&~(x^z)),5*(y&~(x^z)),5*(y&~(x^z)),True,0.009570121765136719
-1*(x^(~y&z))-1*(z^(x|y))+1*(y|~(x|~z))-5*(x^(y&z))+7*~(~x|(y|z))+1*(~x&(~y&z))+4*(~x&(y&z))+5*(x&(~y&z)),-6*~(~x|(~y|z)),-6*~(~x|(~y|z)),-6*~(~x|(~y|z)),True,0.009594917297363281
11*(z^(x&(~y|z)))-5*(z&(x^y))+2*(y^~(x|z))-2*~(x|(y|z))-11*~(~x|(y|z))-11*(~x&(~y&z))+5*(x&(~y&z))-2*(x&(y&z)),8*(~x&(y&z))+2*~(~x|(~y|z)),2*~(~x|(~y|z))+8*(~x&(y&z)),2*~(~x|(~y|z))+8*(~x&(y&z)),True,0.009790182113647461
1*(y^~(~x|(y&z)))+1*(z^(x|(y|z)))-5*~(x|(y^z))-1*~(~x|(~y|z))+2*(~x&(~y&z))+6*(~x&(y&z))+1*(x&(~y&z))-1*(x&(y&z)),2*(y^(x|(~y&z)))-5*~(x|(y|z)),-5*~(x|(y|z))+2*~(x|(~y|z))+2*~(~x|(y|z))+2*(~x&(~y&z))+2*(~x&(y&z))+2*(x&(~y&z)),-5*~(x|(y|z))+2*~(x|(~y|z))+2*~(~x|(y|z))+2*(~x&(~y&z))+2*(~x&(y&z))+2*(x&(~y&z)),True,0.010772943496704102
1*((y&~z)|~(~x|(~y&z)))-2*((x|~y)&~(x^(y^z)))+9*~(x|(y|z))+6*~(x|(~y|z))+6*~(~x|(y|z))+1*~(~x|(~y|z))+7*(~x&(y&z))+6*(x&(y&z)),7*((x^y)|~(x^z))-9*(x&(~y&z)),7*~(x|(y|z))+7*~(x|(~y|z))+7*~(~x|(y|z))+7*(~x&(y&z))-2*(x&(~y&z))+7*(x&(y&z)),7*~(x|(y|z))+7*~(x|(~y|z))+7*~(~x|(y|z))+7*(~x&(y&z))-2*(x&(~y&z))+7*(x&(y&z)),True,0.010769367218017578
-6*(~(x^y)&(x^z))+1*(z&~(x&~y))-5*(z^~(x|~y))+5*~(x|(~y|z))+6*~(~x|(~y|z))-1*(~x&(y&z))+5*(x&(~y&z))+4*(x&(y&z)),-10*(~x&(~y&z)),-10*(~x&(~y&z)),-10*(~x&(~y&z)),True,0.009650945663452148
1*(y^(~x&(y|z)))-6*((x|y)&(y^z))-11*(x^(~y&z))+13*~(x|(~y|z))+23*~(~x|(~y|z))+17*(~x&(~y&z))+13*(x&(~y&z))+17*(x&(y&z)),7*((x&y)|(y^z))-11*~(~x|(y|z)),7*~(x|(~y|z))-11*~(~x|(y|z))+7*~(~x|(~y|z))+7*(~x&(~y&z))+7*(x&(~y&z))+7*(x&(y&z)),7*~(x|(~y|z))-11*~(~x|(y|z))+7*~(~x|(~y|z))+7*(~x&(~y&z))+7*(x&(~y&z))+7*(x&(y&z)),True,0.01092672348022461
11*(z&~(x&y))+1*(z|~(x|~y))-1*~(x|(~y|z))-2*~(~x|(y|z))-2*~(~x|(~y|z))-12*(~x&(~y&z))-14*(~x&(y&z))-12*(x&(~y&z)),1*(x&(y&z))-2*(z^(x|(~y&z))),-2*~(~x|(y|z))-2*~(~x|(~y|z))-2*(~x&(y&z))+1*(x&(y&z)),-2*~(~x|(y|z))-2*~(~x|(~y|z))-2*(~x&(y&z))+1*(x&(y&z)),True,0.010380268096923828
-2*~(x|~y)+5*(y^~(~x&(y&z)))-3*~(x|(y|z))-5*~(~x|(y|z))+2*~(~x|(~y|z))-3*(~x&(~y&z))-1*(~x&(y&z))-3*(x&(~y&z)),2*(~x|(y^z))-4*~(x|(~y|z)),2*~(x|(y|z))-2*~(x|(~y|z))+2*~(~x|(~y|z))+2*(~x&(~y&z))+2*(~x&(y&z))+2*(x&(~y&z)),2*~(x|(y|z))-2*~(x|(~y|z))+2*~(~x|(~y|z))+2*(~x&(~y&z))+2*(~x&(y&z))+2*(x&(~y&z)),True,0.010855913162231445
1*(z^(~x|(y|z)))-3*(y|(x&z))-1*~(x|(y|z))+7*~(~x|(y|z))+9*~(~x|(~y|z))+10*(~x&(y&z))+3*(x&(~y&z))+3*(x&(y&z)),-9*~(x|(~y|z))+7*(y^~(~x|(y^z))),-2*~(x|(~y|z))+7*~(~x|(y|z))+7*~(~x|(~y|z))+7*(~x&(y&z)),-2*~(x|(~y|z))+7*~(~x|(y|z))+7*~(~x|(~y|z))+7*(~x&(y&z)),True,0.010374307632446289
5*((x|y)&~(y^z))-11*(x&~z)+6*~(~x|(y|z))+11*~(~x|(~y|z))+5*(~x&(~y&z))-5*(~x&(y&z))+5*(x&(~y&z))-5*(x&(y&z)),5*~(y|~z),5*~(y|~z),5*~(y|~z),True,0.009429216384887695
11*(x|(~y|z))+1*(y^(~x&(y|z)))-11*(~(x|y)|(y^z))+11*~(x|(~y|z))-11*~(~x|(y|z))-1*(~x&(~y&z))-11*(~x&(y&z))-12*(x&(y&z)),1*~(~x|(~y|z)),1*~(~x|(~y|z)),1*~(~x|(~y|z)),True,0.009544849395751953
-1*((y&~z)|~(~x|(~y&z)))-5*((y&z)|(x&(y|z)))-6*(y^(x&~z))+7*~(~x|(y|z))+6*~(~x|(~y|z))+11*(~x&(y&z))+5*(x&(~y&z))+12*(x&(y&z)),-7*~(x|(~y|z)),-7*~(x|(~y|z)),-7*~(x|(~y|z)),True,0.00957942008972168
-7*(x^z)+7*(z^(~x&(~y|z)))+3*~(x|(~y|z))+7*~(~x|(y|z))+10*~(~x|(~y|z))+7*(~x&(~y&z))+7*(~x&(y&z))-7*(x&(y&z)),-4*(y&~z)+7*(z^~(x&~y)),7*~(x|(y|z))+3*~(x|(~y|z))+3*~(~x|(~y|z))+7*(x&(~y&z)),7*~(x|(y|z))+3*~(x|(~y|z))+3*~(~x|(~y|z))+7*(x&(~y&z)),True,0.010366678237915039
1*~(y|~z)+5*~(x|~y)+3*(y^(~x&(y^z)))-5*~(x|(~y|z))-3*~(~x|(~y|z))-8*(~x&(y&z))-1*(x&(~y&z))-3*(x&(y&z)),4*(~x&(~y&z)),4*(~x&(~y&z)),4*(~x&(~y&z)),True,0.009562015533447266
2*(z^~(~x|(~y&z)))-1*(y^(x|(~y|z)))-6*(~(x&y)&(x^(y^z)))+7*~(x|(~y|z))+5*~(~x|(y|z))-2*~(~x|(~y|z))-2*(~x&(y&z))-1*(x&(~y&z)),-5*(~x&(~y&z))-1*~(x|(y|z)),-1*~(x|(y|z))-5*(~x&(~y&z)),-1*~(x|(y|z))-5*(~x&(~y&z)),True,0.009913206100463867
7*~(x^(y&z))+1*(z^(x|(~y&z)))-7*~(x|(y|z))-7*~(x|(~y|z))-3*~(~x|(y|z))-3*~(~x|(~y|z))-9*(~x&(~y&z))-9*(x&(y&z)),-2*(x^(~y&z))+1*(~x&(y&z)),-2*~(~x|(y|z))-2*~(~x|(~y|z))-2*(~x&(~y&z))+1*(~x&(y&z))-2*(x&(y&z)),-2*~(~x|(y|z))-2*~(~x|(~y|z))-2*(~x&(~y&z))+1*(~x&(y&z))-2*(x&(y&z)),True,0.010775566101074219
11*(z^~(~x&(y|z)))-1*(z^(x&(y|z)))-10*~(x|(y|z))-11*~(~x|(y|z))-10*(~x&(~y&z))-10*(~x&(y&z))+1*(x&(~y&z))+1*(x&(y&z)),1*(z^(~x&(~y|z)))+10*~(~x|(~y|z)),1*~(x|(y|z))+10*~(~x|(~y|z))+1*(x&(~y&z))+1*(x&(y&z)),1*~(x|(y|z))+10*~(~x|(~y|z))+1*(x&(~y&z))+1*(x&(y&z)),True,0.010413169860839844
-2*~(x|z)-2*((x&y)|(y^z))+4*(z^(~x|(y&z)))+2*~(x|(~y|z))+2*~(~x|(~y|z))+4*(~x&(~y&z))-2*(x&(~y&z))+2*(x&(y&z)),-2*~(~x|(y|z))+2*((y&z)^~(x&(y^z))),2*~(x|(y&z)),2*~(x|(y&z)),True,0.009546756744384766
11*((x&~y)|~(x^(y^z)))-1*((x&~y)|~(y^z))+4*~(~x|(~y&z))-11*~(x|(y|z))-14*~(~x|(y|z))-15*~(~x|(~y|z))-11*(~x&(y&z))-10*(x&(~y&z)),3*(x&(y&z))-1*~(x|(y^z)),-1*~(x|(y|z))-1*(~x&(y&z))+3*(x&(y&z)),-1*~(x|(y|z))-1*(~x&(y&z))+3*(x&(y&z)),True,0.010105371475219727
4*((x^y)&~(x^z))+1*(z&(x^y))-2*(z^(~x|(~y&z)))+2*(y^~(~x&(y&z)))-2*(~x&(~y&z))-3*(~x&(y&z))-7*(x&(~y&z))+2*(x&(y&z)),2*~(~x|(y|z))+2*~(x|(~y|z)),2*(~z&(x^y)),2*(~z&(x^y)),True,0.009609460830688477
-2*(~(x^y)|~(x^z))+7*((x|~y)&~(x^(y^z)))+11*(x&y)+1*~(x|(~y|z))-16*~(~x|(~y|z))+2*(~x&(~y&z))-6*(x&(~y&z))-9*(x&(y&z)),-1*((x^y)&~(x^z))+5*~(x|(y|z)),5*~(x|(y|z))-1*~(x|(~y|z))-1*(x&(~y&z)),5*~(x|(y|z))-1*~(x|(~y|z))-1*(x&(~y&z)),True,0.010184526443481445
1*(y^~(x|~z))+4*(x^(y^z))-7*(z^(~x|(y&z)))-5*~(x|(~y|z))-11*~(~x|(y|z))-1*~(~x|(~y|z))-5*(~x&(~y&z))-12*(x&(y&z)),-7*((x^y)|~(x^z))+7*(~x&(y&z)),-7*(z^~(x&(y|z))),-7*(z^~(x&(y|z))),True,0.0097198486328125
1*((x&~y)|~(y^z))-3*(y^~(~x&(~y&z)))-2*(y^~(x|(y&z)))+4*~(x|(y|z))+2*~(~x|(~y|z))+2*(~x&(~y&z))+2*(x&(~y&z))+1*(x&(y&z)),-1*(~x&(y&z))-2*~(~x|(y|z)),-2*~(~x|(y|z))-1*(~x&(y&z)),-2*~(~x|(y|z))-1*(~x&(y&z)),True,0.009960651397705078
11*((x&~y)|(x^(y^z)))+3*((x^y)&~(x^z))+5*(~(x|y)|(y^z))-5*~(x|(y|z))-19*~(x|(~y|z))-5*~(~x|(~y|z))-16*(~x&(~y&z))-19*(x&(~y&z)),11*~(~x|(y|z))+11*(x&(y&z)),11*~(~x|(y^z)),11*~(~x|(y^z)),True,0.00961923599243164
1*~(x&~z)+2*((x|y)&(y^z))-3*~(x|(~y|z))-3*~(~x|(~y|z))-2*(~x&(~y&z))-1*(~x&(y&z))-3*(x&(~y&z))-2*(x&(y&z)),2*~(x|(y|z))-1*~(x^y),1*~(x|(y|z))-1*~(~x|(~y|z))-1*(~x&(~y&z))-1*(x&(y&z)),1*~(x|(y|z))-1*~(~x|(~y|z))-1*(~x&(~y&z))-1*(x&(y&z)),True,0.010398626327514648
-1*~(x&z)+11*(x^y)-10*~(x|(~y|z))-10*~(~x|(y|z))+1*~(~x|(~y|z))+12*(~x&(~y&z))+1*(~x&(y&z))-11*(x&(~y&z)),-12*~(x|(y|z))+11*(~x&(~y|z)),-1*~(x|(y|z))+11*(~x&(~y&z))+11*(~x&(y&z)),-1*~(x|(y|z))+11*(~x&(~y&z))+11*(~x&(y&z)),True,0.010158300399780273
-3*(x&(y^z))-5*(~(x|y)|(y^z))-7*~(x^(y|z))+12*~(x|(y|z))+5*~(x|(~y|z))+15*~(~x|(~y|z))+15*(x&(~y&z))+7*(x&(y&z)),-5*(~x&(~y&z)),-5*(~x&(~y&z)),-5*(~x&(~y&z)),True,0.009600400924682617
-1*~(x^z)+2*(~(x^y)|~(x^z))-1*~(x|(y|z))-1*~(x|(~y|z))+5*~(~x|(~y|z))+5*(~x&(~y&z))-1*(x&(~y&z))-1*(x&(y&z)),-7*(~x&(y&z))+7*(z^(x&(y|z))),7*(~(x^y)&(x^z)),7*(~(x^y)&(x^z)),True,0.009625673294067383
-6*~(x&~y)-2*(~(x&~y)&~(x^(y^z)))+7*~(x|(y|z))+6*~(x|(~y|z))+6*(~x&(~y&z))+8*(~x&(y&z))-1*(x&(~y&z))+6*(x&(y&z)),-1*((x|~y)&~(x^(y^z)))-7*~(~x|(~y|z)),-1*~(x|(y|z))-8*~(~x|(~y|z))-1*(x&(~y&z)),-1*~(x|(y|z))-8*~(~x|(~y|z))-1*(x&(~y&z)),True,0.010154962539672852
-7*~(x&~y)-1*(y^~(~x|(y&z)))+6*~(x|(y|z))+6*~(~x|(~y|z))+6*(~x&(~y&z))+8*(~x&(y&z))+1*(x&(~y&z))+7*(x&(y&z)),-8*~(x|(~y|z))-1*(y^~(x&(y|z))),-1*~(x|(y|z))-8*~(x|(~y|z))-1*~(~x|(y|z))-1*~(~x|(~y|z))-1*(~x&(~y&z))-1*(x&(y&z)),-1*~(x|(y|z))-8*~(x|(~y|z))-1*~(~x|(y|z))-1*~(~x|(~y|z))-1*(~x&(~y&z))-1*(x&(y&z)),True,0.010957002639770508
1*(z^(x&(y|z)))-2*(z^(x&(~y|z)))-7*(~z&(x^y))-2*~(y|z)+7*~(x|(~y|z))+11*~(~x|(y|z))+1*(~x&(~y&z))+1*(~x&(y&z)),-2*~(x|(y|z))+1*~(~x|(~y|z)),-2*~(x|(y|z))+1*~(~x|(~y|z)),-2*~(x|(y|z))+1*~(~x|(~y|z)),True,0.009909391403198242
-11*(~(x&y)&~(y^z))-3*(z^(x&(y|z)))+16*~(x|(y|z))+5*~(x|(~y|z))+16*~(~x|(y|z))+3*~(~x|(~y|z))+3*(~x&(~y&z))+5*(x&(~y&z)),-19*(~x&(y&z))+5*(y^~(~x&(y|z))),5*~(x|(y|z))+5*~(x|(~y|z))+5*~(~x|(y|z))-14*(~x&(y&z))+5*(x&(~y&z)),5*~(x|(y|z))+5*~(x|(~y|z))+5*~(~x|(y|z))-14*(~x&(y&z))+5*(x&(~y&z)),True,0.010649442672729492
-3*(z|~(x|~y))+4*~(x|(y|z))+1*~(x|(~y|z))+4*~(~x|(~y|z))+3*(~x&(~y&z))+7*(~x&(y&z))+1*(x&(~y&z))+9*(x&(y&z)),6*(y^~(x|z))-2*(~(x|~y)|~(x^(y^z))),4*~(x|(y|z))-2*~(x|(~y|z))+4*~(~x|(~y|z))+4*(~x&(y&z))-2*(x&(~y&z))+6*(x&(y&z)),4*~(x|(y|z))-2*~(x|(~y|z))+4*~(~x|(~y|z))+4*(~x&(y&z))-2*(x&(~y&z))+6*(x&(y&z)),True,0.01092219352722168
-1*(y&(x^z))-2*~(x&(~y|z))+2*~(x|(y|z))-8*~(~x|(~y|z))-9*(~x&(~y&z))+3*(~x&(y&z))-11*(x&(~y&z))-11*(x&(y&z)),-2*~(x|(~y|z))-11*((x&y)|~(y|~z)),-2*~(x|(~y|z))-11*~(~x|(~y|z))-11*(~x&(~y&z))-11*(x&(~y&z))-11*(x&(y&z)),-2*~(x|(~y|z))-11*~(~x|(~y|z))-11*(~x&(~y&z))-11*(x&(~y&z))-11*(x&(y&z)),True,0.01066732406616211
-11*((x&y)|(x^(y^z)))+3*((x|~y)&(x^(y^z)))-1*~(x|(y|z))+10*~(x|(~y|z))+11*~(~x|(~y|z))+8*(~x&(~y&z))-1*(x&(~y&z))+7*(x&(y&z)),-1*~(x^z)-8*~(~x|(y|z)),-1*~(x|(y|z))-1*~(x|(~y|z))-8*~(~x|(y|z))-1*(x&(~y&z))-1*(x&(y&z)),-1*~(x|(y|z))-1*~(x|(~y|z))-8*~(~x|(y|z))-1*(x&(~y&z))-1*(x&(y&z)),True,0.01085209846496582
7*(z^(~x&(y|z)))+1*((y&~z)^(~x|(y^z)))-1*~(x|(y|z))-8*~(x|(~y|z))-1*~(~x|(~y|z))-1*(~x&(y&z))-8*(x&(~y&z))-7*(x&(y&z)),-1*(~(x&~y)&(y^z))+2*(~x&(~y&z)),-1*~(x|(~y|z))-1*~(~x|(~y|z))+1*(~x&(~y&z)),-1*~(x|(~y|z))-1*~(~x|(~y|z))+1*(~x&(~y&z)),True,0.010050058364868164
5*(~(x^y)&(x^z))-1*z-1*(~(x^y)|(x^z))+1*~(x|(y|z))+1*~(~x|(y|z))-4*~(~x|(~y|z))+1*(x&(~y&z))+2*(x&(y&z)),3*(~x&(~y&z))-2*(~x&(y&z)),3*(~x&(~y&z))-2*(~x&(y&z)),3*(~x&(~y&z))-2*(~x&(y&z)),True,0.009795665740966797
-6*((x^y)&(x^z))+1*((x|~y)&~(x^(y^z)))-2*~y+11*((y&~z)^(~x|(y^z)))-10*~(x|(y|z))-1*~(~x|(~y|z))-5*(~x&(y&z))-10*(x&(~y&z)),-8*~(~x|(y|z))+9*(~x&(~y&z)),-8*~(~x|(y|z))+9*(~x&(~y&z)),-8*~(~x|(y|z))+9*(~x&(~y&z)),True,0.009832382202148438
-1*((x&z)^~(y&~z))+2*(y&~(x&~z))+1*~(x|(y|z))+1*~(~x|(y|z))+11*~(~x|(~y|z))+12*(~x&(~y&z))+10*(~x&(y&z))+9*(x&(y&z)),11*(y^(~x&(y^z)))+2*~(x|(~y|z)),2*~(x|(~y|z))+11*~(~x|(~y|z))+11*(~x&(~y&z))+11*(~x&(y&z))+11*(x&(y&z)),2*~(x|(~y|z))+11*~(~x|(~y|z))+11*(~x&(~y&z))+11*(~x&(y&z))+11*(x&(y&z)),True,0.010553121566772461
-3*(y^z)-1*(z^(x&y))+2*((x^y)&(x^z))-2*~(~x|(y|z))+4*~(~x|(~y|z))+4*(~x&(~y&z))-1*(~x&(y&z))+4*(x&(~y&z)),-3*~(x|(~y|z)),-3*~(x|(~y|z)),-3*~(x|(~y|z)),True,0.00954294204711914
-2*(~x&(y^z))+1*~(~x|(y^z))-3*(y^~(~x&(~y&z)))+3*~(x|(y|z))+2*~(x|(~y|z))+2*~(~x|(y|z))+2*(~x&(~y&z))+3*(x&(~y&z)),1*(x&(y&z)),1*(x&(y&z)),1*(x&(y&z)),True,0.00948643684387207
3*(z^(~x&(~y|z)))-6*~(x|(y^z))-2*(x^z)+3*~(x|(y|z))+2*~(~x|(y|z))+2*~(~x|(~y|z))+2*(~x&(~y&z))+8*(~x&(y&z)),3*(x&(~y&z))+3*(x&(y&z)),3*(x&z),3*(x&z),True,0.009490489959716797
3*(~z&~(x^y))+2*((x&y)|~(y^z))+4*(y^~(~x&(y^z)))-9*~(x|(y|z))+2*~(x|(~y|z))+1*~(~x|(~y|z))-4*(x&(~y&z))-2*(x&(y&z)),6*(z^(x|(y|z)))+2*(~x&(y&z)),6*~(x|(~y|z))+6*~(~x|(y|z))+6*~(~x|(~y|z))+2*(~x&(y&z)),6*~(x|(~y|z))+6*~(~x|(y|z))+6*~(~x|(~y|z))+2*(~x&(y&z)),True,0.010450601577758789
5*(~x&(y^z))+1*(x&(y^z))+1*((x&~y)|(x^(y^z)))-6*~(x|(~y|z))-1*~(~x|(y|z))-1*~(~x|(~y|z))-2*(x&(~y&z))-1*(x&(y&z)),6*(~x&(~y&z)),6*(~x&(~y&z)),6*(~x&(~y&z)),True,0.009584903717041016
11*(y^(~x|(y|z)))+1*((y&~z)^(~x|(y^z)))-1*((x&~y)|~(x^(y^z)))+4*(z^(~x|(y&z)))-4*~(x|(~y|z))+1*~(~x|(y|z))+1*~(~x|(~y|z))-15*(x&(~y&z)),15*~(x|(y|z))+12*(~x&(~y&z)),15*~(x|(y|z))+12*(~x&(~y&z)),15*~(x|(y|z))+12*(~x&(~y&z)),True,0.009853839874267578
-1*((x&z)^(x^(y&z)))+2*(~(x&~y)&~(y^z))+1*((y&~z)^(x|(y^z)))+1*~(~x|(~y|z))-1*(~x&(~y&z))-1*(~x&(y&z))-1*(x&(~y&z))-2*(x&(y&z)),2*~(x|(y|z)),2*~(x|(y|z)),2*~(x|(y|z)),True,0.009620189666748047
1*(~(x&y)&(x^(y^z)))-11*~(x|(y|z))-1*~(x|(~y|z))+1*~(~x|(y|z))-9*~(~x|(~y|z))-12*(~x&(~y&z))-9*(~x&(y&z))+2*(x&(~y&z)),2*(x^(y&z))-11*(x^(~y|z)),-11*~(x|(y|z))+2*~(~x|(y|z))-9*~(~x|(~y|z))-11*(~x&(~y&z))-9*(~x&(y&z))+2*(x&(~y&z)),-11*~(x|(y|z))+2*~(~x|(y|z))-9*~(~x|(~y|z))-11*(~x&(~y&z))-9*(~x&(y&z))+2*(x&(~y&z)),True,0.011175394058227539
3*(z&~(x&y))+3*(y^(x&z))+1*(y|~(x^z))-1*~(x|(y|z))-4*~(~x|(~y|z))-7*(~x&(y&z))-7*(x&(~y&z))-1*(x&(y&z)),3*(~x&(~y&z))+4*~(x|(~y|z)),4*~(x|(~y|z))+3*(~x&(~y&z)),4*~(x|(~y|z))+3*(~x&(~y&z)),True,0.010001182556152344
5*(z^(~x|(y|z)))-5*((x&~y)|(y^z))-7*~(x|(y|z))+5*~(~x|(y|z))-2*~(~x|(~y|z))+5*(~x&(~y&z))-2*(~x&(y&z))+3*(x&(~y&z)),-2*~(x^(y^z)),-2*~(x^(y^z)),-2*~(x^(y^z)),True,0.00967097282409668
3*(y^(~x|(y^z)))+5*(y^(x|(~y|z)))-7*(z|~(x^y))-1*((y&~z)^(x|(y^z)))-1*~(x|(y|z))-5*~(x|(~y|z))+7*~(~x|(~y|z))+5*(x&(y&z)),-7*(~x&(y&z))+4*~(~x|(y|z)),4*~(~x|(y|z))-7*(~x&(y&z)),4*~(~x|(y|z))-7*(~x&(y&z)),True,0.009968757629394531
1*(z^~(~x|(~y&z)))-1*(y^~(x&(y^z)))-5*(y^~(~x&(y^z)))+5*~(x|(~y|z))+5*~(~x|(y|z))+6*(~x&(~y&z))-1*(~x&(y&z))+10*(x&(~y&z)),-12*~(x|(y|z))+6*(y^(~x|(y|z))),-6*~(x|(y|z))+6*(~x&(~y&z))+6*(x&(~y&z)),-6*~(x|(y|z))+6*(~x&(~y&z))+6*(x&(~y&z)),True,0.010258913040161133
-1*(~(x&y)&~(x^(y^z)))-6*(z^(x|~y))+10*~(x|(y|z))+9*~(~x|(y|z))+9*~(~x|(~y|z))+3*(~x&(~y&z))+4*(x&(~y&z))+3*(x&(y&z)),-10*(~x&(y&z))+3*(x|(~y|z)),3*~(x|(y|z))+3*~(~x|(y|z))+3*~(~x|(~y|z))+3*(~x&(~y&z))-7*(~x&(y&z))+3*(x&(~y&z))+3*(x&(y&z)),3*~(x|(y|z))+3*~(~x|(y|z))+3*~(~x|(~y|z))+3*(~x&(~y&z))-7*(~x&(y&z))+3*(x&(~y&z))+3*(x&(y&z)),True,0.011202812194824219
-2*~z+2*((x&y)^~(x^(~y|z)))+1*(~x&(y|z))+2*~(x|(y|z))+5*~(x|(~y|z))-1*(~x&(~y&z))-1*(~x&(y&z))+4*(x&(~y&z)),6*((x^y)&~(x^z)),6*((x^y)&~(x^z)),6*((x^y)&~(x^z)),True,0.00966334342956543
-7*(y^~(x&~z))+1*(z^(x|(y&z)))+7*(y^(x&z))+7*~(x|(y|z))-7*~(x|(~y|z))-1*~(~x|(y|z))-1*~(~x|(~y|z))-7*(~x&(y&z)),-6*(~x&(~y&z)),-6*(~x&(~y&z)),-6*(~x&(~y&z)),True,0.009641408920288086
-11*(x^z)+5*(~x&(~y|z))-5*~(x|(y|z))-1*~(x|(~y|z))+10*~(~x|(y|z))+10*~(~x|(~y|z))+6*(~x&(y&z))-1*(x&(y&z)),-1*((x&y)|(x^(y^z)))-5*(~x&(~y&z)),-1*~(x|(~y|z))-1*~(~x|(y|z))-1*~(~x|(~y|z))-6*(~x&(~y&z))-1*(x&(y&z)),-1*~(x|(~y|z))-1*~(~x|(y|z))-1*~(~x|(~y|z))-6*(~x&(~y&z))-1*(x&(y&z)),True,0.010741710662841797
-3*(~(x&~y)&(x^(y^z)))+11*((x^y)&(x^z))+1*(y|z)+2*~(x|(~y|z))-11*~(~x|(y|z))-12*(~x&(y&z))-1*(x&(~y&z))+2*(x&(y&z)),-2*(~x&(~y&z))+1*~(~x|(~y|z)),1*~(~x|(~y|z))-2*(~x&(~y&z)),1*~(~x|(~y|z))-2*(~x&(~y&z)),True,0.009886980056762695
4*(~(x^y)&~(x^z))+4*(y|(x&z))-5*~(x|(y|z))-4*~(x|(~y|z))-5*~(~x|(~y|z))-4*(~x&(y&z))-5*(x&(~y&z))-8*(x&(y&z)),-1*((x|~y)&~(x^(y^z))),-1*((x|~y)&~(x^(y^z))),-1*((x|~y)&~(x^(y^z))),True,0.009769678115844727
5*((x|~y)&~(x^(y^z)))+7*(~(x|y)|~(x^(y^z)))+1*(y^(x&(y^z)))-12*~(x|(y|z))-1*~(x|(~y|z))-8*(~x&(y&z))-13*(x&(~y&z))-1*(x&(y&z)),12*~(~x|(~y|z))+7*(~x&(~y&z)),12*~(~x|(~y|z))+7*(~x&(~y&z)),12*~(~x|(~y|z))+7*(~x&(~y&z)),True,0.009833812713623047
1*((x&y)^(x^(y&z)))-11*(z&~(x&y))-3*~(~x|(y|z))+2*~(~x|(~y|z))+9*(~x&(~y&z))+12*(~x&(y&z))+8*(x&(~y&z))-1*(x&(y&z)),-2*(y^(x|(~y|z)))+2*((y&~z)|~(x|(~y&z))),-2*~(~x|(y|z))+2*~(~x|(~y|z))-2*(~x&(~y&z))+2*(~x&(y&z))-2*(x&(~y&z)),-2*~(~x|(y|z))+2*~(~x|(~y|z))-2*(~x&(~y&z))+2*(~x&(y&z))-2*(x&(~y&z)),True,0.010564327239990234
-2*(y^~(~x&(y|z)))-1*(z|(x&y))+1*((x|~y)&~(x^(y^z)))+1*~(x|(y|z))+2*~(x|(~y|z))+2*~(~x|(y|z))+1*(~x&(~y&z))+3*(~x&(y&z))+1*(x&(y&z)),-2*(x&(~y&z)),-2*(x&(~y&z)),-2*(x&(~y&z)),True,0.009571552276611328
