#complex,groundtruth,simplifiedcomplex,simplifiedgroundtruth,z3flag,simtime
-7*(y^(~x|(~y&z)))-5*(~y&(x^z))+11*(z^~(~x|(y&z)))+7*~(x|(y|z))-6*~(~x|(y|z))-4*~(~x|(~y|z))+1*(~x&(~y&z))-11*(~x&(y&z)),-7*(x&(~y&z))+4*(x&(y&z)),-7*(x&(~y&z))+4*(x&(y&z)),-7*(x&(~y&z))+4*(x&(y&z)),True,0.0019683837890625
-2*(~z&~(x^y))+7*(y^~(~x&(y^z)))-2*~(x|(y|z))-7*~(x|(~y|z))-4*~(~x|(y|z))+2*~(~x|(~y|z))-4*(x&(~y&z))+3*(x&(y&z)),3*((x&z)|~(y|z)),3*((x&z)|~(y|z)),3*((x&z)|~(y|z)),True,0.0019288063049316406
11*(y^(x&(y^z)))-2*(x^(y|z))-1*(z|~(x|~y))-8*~(x|(~y|z))+3*(~x&(~y&z))-8*(~x&(y&z))-10*(x&(~y&z))-10*(x&(y&z)),-2*~(~x|(y|z)),-2*~(~x|(y|z)),-2*~(~x|(y|z)),True,0.001990079879760742
-6*(y|(x&z))+11*(z&(x|y))-1*(z^(x&y))+6*~(x|(~y|z))+1*(~x&(~y&z))-4*(~x&(y&z))-4*(x&(~y&z))-5*(x&(y&z)),-7*~(~x|(~y|z)),-7*~(~x|(~y|z)),-7*~(~x|(~y|z)),True,0.0019524097442626953
2*(y|~(x^z))-1*(~x&(~y|z))+2*~(x^(y|z))-3*~(x|(y|z))-2*~(x|(~y|z))+1*(~x&(~y&z))-4*(x&(~y&z))-4*(x&(y&z)),4*~(~x|(~y|z))+1*(~x&(y&z)),4*~(~x|(~y|z))+1*(~x&(y&z)),4*~(~x|(~y|z))+1*(~x&(y&z)),True,0.002008676528930664
5*(y^(~x|(y&z)))-1*~(x&~y)-7*(~(x&~y)&(x^(y^z)))-11*~(x|(y|z))+1*~(x|(~y|z))-4*~(~x|(~y|z))-4*(~x&(~y&z))+8*(x&(y&z)),-7*~x+6*(~x&(y&z)),-7*~(x|(y|z))-7*~(x|(~y|z))-7*(~x&(~y&z))-1*(~x&(y&z)),-7*~(x|(y|z))-7*~(x|(~y|z))-7*(~x&(~y&z))-1*(~x&(y&z)),True,0.001967906951904297
1*(~x&(~y|z))-5*(y^~(~x&(y^z)))-2*(z|(x^y))+7*~(x|(~y|z))+7*~(~x|(y|z))+1*(~x&(y&z))+7*(x&(~y&z))+2*(x&(y&z)),-4*~(x|(y|z))-1*(~x&(~y&z)),-4*~(x|(y|z))-1*(~x&(~y&z)),-4*~(x|(y|z))-1*(~x&(~y&z)),True,0.001965761184692383
1*((x&z)^~(y&~z))+11*~(x|(y^z))+11*(~y&~(x^z))-1*((x^y)|(x^z))-23*~(x|(y|z))+1*~(x|(~y|z))+1*~(~x|(~y|z))-11*(~x&(y&z)),10*(x&(~y&z)),10*(x&(~y&z)),10*(x&(~y&z)),True,0.0019903182983398438
-5*(z^(~x|(~y&z)))+1*~(x&(y^z))+4*~(x|(y|z))+2*~(x|(~y|z))-3*~(~x|(y|z))-3*(~x&(~y&z))-1*(~x&(y&z))+2*(x&(y&z)),-2*(x^(y^z)),-2*(x^(y^z)),-2*(x^(y^z)),True,0.0019686222076416016
1*(~x|(y|z))+3*(y&(x|z))+5*~(x|(y|z))+5*~(x|(~y|z))+5*(~x&(~y&z))-4*(~x&(y&z))+5*(x&(~y&z))-4*(x&(y&z)),-2*~(~x|(~y|z))+6*(~(x|y)|(y^z)),6*~(x|(y|z))+6*~(x|(~y|z))+4*~(~x|(~y|z))+6*(~x&(~y&z))+6*(x&(~y&z)),6*~(x|(y|z))+6*~(x|(~y|z))+4*~(~x|(~y|z))+6*(~x&(~y&z))+6*(x&(~y&z)),True,0.0020117759704589844
-1*(~(x|~y)|(y^z))-7*((x&y)|(y^z))+13*~(x|(~y|z))+8*~(~x|(~y|z))+8*(~x&(~y&z))+1*(~x&(y&z))+8*(x&(~y&z))+12*(x&(y&z)),5*(y&~(x^z)),5*(y&~(x^z)),5*(y&~(x^z)),True,0.0019202232360839844
-1*(x^(~y&z))-1*(z^(x|y))+1*(y|~(x|~z))-5*(x^(y&z))+7*~(~x|(y|z))+1*(~x&(~y&z))+4*(~x&(y&z))+5*(x&(~y&z)),-6*~(~x|(~y|z)),-6*~(~x|(~y|z)),-6*~(~x|(~y|z)),True,0.0019371509552001953
11*(z^(x&(~y|z)))-5*(z&(x^y))+2*(y^~(x|z))-2*~(x|(y|z))-11*~(~x|(y|z))-11*(~x&(~y&z))+5*(x&(~y&z))-2*(x&(y&z)),8*(~x&(y&z))+2*~(~x|(~y|z)),2*~(~x|(~y|z))+8*(~x&(y&z)),2*~(~x|(~y|z))+8*(~x&(y&z)),True,0.002033710479736328
1*(y^~(~x|(y&z)))+1*(z^(x|(y|z)))-5*~(x|(y^z))-1*~(~x|(~y|z))+2*(~x&(~y&z))+6*(~x&(y&z))+1*(x&(~y&z))-1*(x&(y&z)),2*(y^(x|(~y&z)))-5*~(x|(y|z)),-5*~(x|(y|z))+2*~(x|(~y|z))+2*~(~x|(y|z))+2*(~x&(~y&z))+2*(~x&(y&z))+2*(x&(~y&z)),-5*~(x|(y|z))+2*~(x|(~y|z))+2*~(~x|(y|z))+2*(~x&(~y&z))+2*(~x&(y&z))+2*(x&(~y&z)),True,0.002043008804321289
1*((y&~z)|~(~x|(~y&z)))-2*((x|~y)&~(x^(y^z)))+9*~(x|(y|z))+6*~(x|(~y|z))+6*~(~x|(y|z))+1*~(~x|(~y|z))+7*(~x&(y&z))+6*(x&(y&z)),7*((x^y)|~(x^z))-9*(x&(~y&z)),7*~(x|(y|z))+7*~(x|(~y|z))+7*~(~x|(y|z))+7*(~x&(y&z))-2*(x&(~y&z))+7*(x&(y&z)),7*~(x|(y|z))+7*~(x|(~y|z))+7*~(~x|(y|z))+7*(~x&(y&z))-2*(x&(~y&z))+7*(x&(y&z)),True,0.002049684524536133
-6*(~(x^y)&(x^z))+1*(z&~(x&~y))-5*(z^~(x|~y))+5*~(x|(~y|z))+6*~(~x|(~y|z))-1*(~x&(y&z))+5*(x&(~y&z))+4*(x&(y&z)),-10*(~x&(~y&z)),-10*(~x&(~y&z)),-10*(~x&(~y&z)),True,0.002003908157348633
1*(y^(~x&(y|z)))-6*((x|y)&(y^z))-11*(x^(~y&z))+13*~(x|(~y|z))+23*~(~x|(~y|z))+17*(~x&(~y&z))+13*(x&(~y&z))+17*(x&(y&z)),7*((x&y)|(y^z))-11*~(~x|(y|z)),7*~(x|(~y|z))-11*~(~x|(y|z))+7*~(~x|(~y|z))+7*(~x&(~y&z))+7*(x&(~y&z))+7*(x&(y&z)),7*~(x|(~y|z))-11*~(~x|(y|z))+7*~(~x|(~y|z))+7*(~x&(~y&z))+7*(x&(~y&z))+7*(x&(y&z)),True,0.001990079879760742
11*(z&~(x&y))+1*(z|~(x|~y))-1*~(x|(~y|z))-2*~(~x|(y|z))-2*~(~x|(~y|z))-12*(~x&(~y&z))-14*(~x&(y&z))-12*(x&(~y&z)),1*(x&(y&z))-2*(z^(x|(~y&z))),-2*~(~x|(y|z))-2*~(~x|(~y|z))-2*(~x&(y&z))+1*(x&(y&z)),-2*~(~x|(y|z))-2*~(~x|(~y|z))-2*(~x&(y&z))+1*(x&(y&z)),True,0.002056598663330078
-2*~(x|~y)+5*(y^~(~x&(y&z)))-3*~(x|(y|z))-5*~(~x|(y|z))+2*~(~x|(~y|z))-3*(~x&(~y&z))-1*(~x&(y&z))-3*(x&(~y&z)),2*(~x|(y^z))-4*~(x|(~y|z)),2*~(x|(y|z))-2*~(x|(~y|z))+2*~(~x|(~y|z))+2*(~x&(~y&z))+2*(~x&(y&z))+2*(x&(~y&z)),2*~(x|(y|z))-2*~(x|(~y|z))+2*~(~x|(~y|z))+2*(~x&(~y&z))+2*(~x&(y&z))+2*(x&(~y&z)),True,0.0019617080688476562
1*(z^(~x|(y|z)))-3*(y|(x&z))-1*~(x|(y|z))+7*~(~x|(y|z))+9*~(~x|(~y|z))+10*(~x&(y&z))+3*(x&(~y&z))+3*(x&(y&z)),-9*~(x|(~y|z))+7*(y^~(~x|(y^z))),-2*~(x|(~y|z))+7*~(~x|(y|z))+7*~(~x|(~y|z))+7*(~x&(y&z)),-2*~(x|(~y|z))+7*~(~x|(y|z))+7*~(~x|(~y|z))+7*(~x&(y&z)),True,0.0020415782928466797
5*((x|y)&~(y^z))-11*(x&~z)+6*~(~x|(y|z))+11*~(~x|(~y|z))+5*(~x&(~y&z))-5*(~x&(y&z))+5*(x&(~y&z))-5*(x&(y&z)),5*~(y|~z),5*~(y|~z),5*~(y|~z),True,0.001984119415283203
11*(x|(~y|z))+1*(y^(~x&(y|z)))-11*(~(x|y)|(y^z))+11*~(x|(~y|z))-11*~(~x|(y|z))-1*(~x&(~y&z))-11*(~x&(y&z))-12*(x&(y&z)),1*~(~x|(~y|z)),1*~(~x|(~y|z)),1*~(~x|(~y|z)),True,0.001959085464477539
-1*((y&~z)|~(~x|(~y&z)))-5*((y&z)|(x&(y|z)))-6*(y^(x&~z))+7*~(~x|(y|z))+6*~(~x|(~y|z))+11*(~x&(y&z))+5*(x&(~y&z))+12*(x&(y&z)),-7*~(x|(~y|z)),-7*~(x|(~y|z)),-7*~(x|(~y|z)),True,0.0019328594207763672
-7*(x^z)+7*(z^(~x&(~y|z)))+3*~(x|(~y|z))+7*~(~x|(y|z))+10*~(~x|(~y|z))+7*(~x&(~y&z))+7*(~x&(y&z))-7*(x&(y&z)),-4*(y&~z)+7*(z^~(x&~y)),7*~(x|(y|z))+3*~(x|(~y|z))+3*~(~x|(~y|z))+7*(x&(~y&z)),7*~(x|(y|z))+3*~(x|(~y|z))+3*~(~x|(~y|z))+7*(x&(~y&z)),True,0.0019736289978027344
1*~(y|~z)+5*~(x|~y)+3*(y^(~x&(y^z)))-5*~(x|(~y|z))-3*~(~x|(~y|z))-8*(~x&(y&z))-1*(x&(~y&z))-3*(x&(y&z)),4*(~x&(~y&z)),4*(~x&(~y&z)),4*(~x&(~y&z)),True,0.001988649368286133
2*(z^~(~x|(~y&z)))-1*(y^(x|(~y|z)))-6*(~(x&y)&(x^(y^z)))+7*~(x|(~y|z))+5*~(~x|(y|z))-2*~(~x|(~y|z))-2*(~x&(y&z))-1*(x&(~y&z)),-5*(~x&(~y&z))-1*~(x|(y|z)),-1*~(x|(y|z))-5*(~x&(~y&z)),-1*~(x|(y|z))-5*(~x&(~y&z)),True,0.0020482540130615234
7*~(x^(y&z))+1*(z^(x|(~y&z)))-7*~(x|(y|z))-7*~(x|(~y|z))-3*~(~x|(y|z))-3*~(~x|(~y|z))-9*(~x&(~y&z))-9*(x&(y&z)),-2*(x^(~y&z))+1*(~x&(y&z)),-2*~(~x|(y|z))-2*~(~x|(~y|z))-2*(~x&(~y&z))+1*(~x&(y&z))-2*(x&(y&z)),-2*~(~x|(y|z))-2*~(~x|(~y|z))-2*(~x&(~y&z))+1*(~x&(y&z))-2*(x&(y&z)),True,0.0019884109497070312
11*(z^~(~x&(y|z)))-1*(z^(x&(y|z)))-10*~(x|(y|z))-11*~(~x|(y|z))-10*(~x&(~y&z))-10*(~x&(y&z))+1*(x&(~y&z))+1*(x&(y&z)),1*(z^(~x&(~y|z)))+10*~(~x|(~y|z)),1*~(x|(y|z))+10*~(~x|(~y|z))+1*(x&(~y&z))+1*(x&(y&z)),1*~(x|(y|z))+10*~(~x|(~y|z))+1*(x&(~y&z))+1*(x&(y&z)),True,0.002010822296142578
-2*~(x|z)-2*((x&y)|(y^z))+4*(z^(~x|(y&z)))+2*~(x|(~y|z))+2*~(~x|(~y|z))+4*(~x&(~y&z))-2*(x&(~y&z))+2*(x&(y&z)),-2*~(~x|(y|z))+2*((y&z)^~(x&(y^z))),2*~(x|(y&z)),2*~(x|(y&z)),True,0.0020143985748291016
11*((x&~y)|~(x^(y^z)))-1*((x&~y)|~(y^z))+4*~(~x|(~y&z))-11*~(x|(y|z))-14*~(~x|(y|z))-15*~(~x|(~y|z))-11*(~x&(y&z))-10*(x&(~y&z)),3*(x&(y&z))-1*~(x|(y^z)),-1*~(x|(y|z))-1*(~x&(y&z))+3*(x&(y&z)),-1*~(x|(y|z))-1*(~x&(y&z))+3*(x&(y&z)),True,0.00200653076171875
4*((x^y)&~(x^z))+1*(z&(x^y))-2*(z^(~x|(~y&z)))+2*(y^~(~x&(y&z)))-2*(~x&(~y&z))-3*(~x&(y&z))-7*(x&(~y&z))+2*(x&(y&z)),2*~(~x|(y|z))+2*~(x|(~y|z)),2*(~z&(x^y)),2*(~z&(x^y)),True,0.0019757747650146484
-2*(~(x^y)|~(x^z))+7*((x|~y)&~(x^(y^z)))+11*(x&y)+1*~(x|(~y|z))-16*~(~x|(~y|z))+2*(~x&(~y&z))-6*(x&(~y&z))-9*(x&(y&z)),-1*((x^y)&~(x^z))+5*~(x|(y|z)),5*~(x|(y|z))-1*~(x|(~y|z))-1*(x&(~y&z)),5*~(x|(y|z))-1*~(x|(~y|z))-1*(x&(~y&z)),True,0.0020248889923095703
1*(y^~(x|~z))+4*(x^(y^z))-7*(z^(~x|(y&z)))-5*~(x|(~y|z))-11*~(~x|(y|z))-1*~(~x|(~y|z))-5*(~x&(~y&z))-12*(x&(y&z)),-7*((x^y)|~(x^z))+7*(~x&(y&z)),-7*(z^~(x&(y|z))),-7*(z^~(x&(y|z))),True,0.0020439624786376953
1*((x&~y)|~(y^z))-3*(y^~(~x&(~y&z)))-2*(y^~(x|(y&z)))+4*~(x|(y|z))+2*~(~x|(~y|z))+2*(~x&(~y&z))+2*(x&(~y&z))+1*(x&(y&z)),-1*(~x&(y&z))-2*~(~x|(y|z)),-2*~(~x|(y|z))-1*(~x&(y&z)),-2*~(~x|(y|z))-1*(~x&(y&z)),True,0.0019845962524414062
11*((x&~y)|(x^(y^z)))+3*((x^y)&~(x^z))+5*(~(x|y)|(y^z))-5*~(x|(y|z))-19*~(x|(~y|z))-5*~(~x|(~y|z))-16*(~x&(~y&z))-19*(x&(~y&z)),11*~(~x|(y|z))+11*(x&(y&z)),11*~(~x|(y^z)),11*~(~x|(y^z)),True,0.001996278762817383
1*~(x&~z)+2*((x|y)&(y^z))-3*~(x|(~y|z))-3*~(~x|(~y|z))-2*(~x&(~y&z))-1*(~x&(y&z))-3*(x&(~y&z))-2*(x&(y&z)),2*~(x|(y|z))-1*~(x^y),1*~(x|(y|z))-1*~(~x|(~y|z))-1*(~x&(~y&z))-1*(x&(y&z)),1*~(x|(y|z))-1*~(~x|(~y|z))-1*(~x&(~y&z))-1*(x&(y&z)),True,0.002000093460083008
-1*~(x&z)+11*(x^y)-10*~(x|(~y|z))-10*~(~x|(y|z))+1*~(~x|(~y|z))+12*(~x&(~y&z))+1*(~x&(y&z))-11*(x&(~y&z)),-12*~(x|(y|z))+11*(~x&(~y|z)),-1*~(x|(y|z))+11*(~x&(~y&z))+11*(~x&(y&z)),-1*~(x|(y|z))+11*(~x&(~y&z))+11*(~x&(y&z)),True,0.0020041465759277344
-3*(x&(y^z))-5*(~(x|y)|(y^z))-7*~(x^(y|z))+12*~(x|(y|z))+5*~(x|(~y|z))+15*~(~x|(~y|z))+15*(x&(~y&z))+7*(x&(y&z)),-5*(~x&(~y&z)),-5*(~x&(~y&z)),-5*(~x&(~y&z)),True,0.0019223690032958984
-1*~(x^z)+2*(~(x^y)|~(x^z))-1*~(x|(y|z))-1*~(x|(~y|z))+5*~(~x|(~y|z))+5*(~x&(~y&z))-1*(x&(~y&z))-1*(x&(y&z)),-7*(~x&(y&z))+7*(z^(x&(y|z))),7*(~(x^y)&(x^z)),7*(~(x^y)&(x^z)),True,0.0019769668579101562
-6*~(x&~y)-2*(~(x&~y)&~(x^(y^z)))+7*~(x|(y|z))+6*~(x|(~y|z))+6*(~x&(~y&z))+8*(~x&(y&z))-1*(x&(~y&z))+6*(x&(y&z)),-1*((x|~y)&~(x^(y^z)))-7*~(~x|(~y|z)),-1*~(x|(y|z))-8*~(~x|(~y|z))-1*(x&(~y&z)),-1*~(x|(y|z))-8*~(~x|(~y|z))-1*(x&(~y&z)),True,0.0020651817321777344
-7*~(x&~y)-1*(y^~(~x|(y&z)))+6*~(x|(y|z))+6*~(~x|(~y|z))+6*(~x&(~y&z))+8*(~x&(y&z))+1*(x&(~y&z))+7*(x&(y&z)),-8*~(x|(~y|z))-1*(y^~(x&(y|z))),-1*~(x|(y|z))-8*~(x|(~y|z))-1*~(~x|(y|z))-1*~(~x|(~y|z))-1*(~x&(~y&z))-1*(x&(y&z)),-1*~(x|(y|z))-8*~(x|(~y|z))-1*~(~x|(y|z))-1*~(~x|(~y|z))-1*(~x&(~y&z))-1*(x&(y&z)),True,0.001967906951904297
1*(z^(x&(y|z)))-2*(z^(x&(~y|z)))-7*(~z&(x^y))-2*~(y|z)+7*~(x|(~y|z))+11*~(~x|(y|z))+1*(~x&(~y&z))+1*(~x&(y&z)),-2*~(x|(y|z))+1*~(~x|(~y|z)),-2*~(x|(y|z))+1*~(~x|(~y|z)),-2*~(x|(y|z))+1*~(~x|(~y|z)),True,0.002030611038208008
-11*(~(x&y)&~(y^z))-3*(z^(x&(y|z)))+16*~(x|(y|z))+5*~(x|(~y|z))+16*~(~x|(y|z))+3*~(~x|(~y|z))+3*(~x&(~y&z))+5*(x&(~y&z)),-19*(~x&(y&z))+5*(y^~(~x&(y|z))),5*~(x|(y|z))+5*~(x|(~y|z))+5*~(~x|(y|z))-14*(~x&(y&z))+5*(x&(~y&z)),5*~(x|(y|z))+5*~(x|(~y|z))+5*~(~x|(y|z))-14*(~x&(y&z))+5*(x&(~y&z)),True,0.002101421356201172
-3*(z|~(x|~y))+4*~(x|(y|z))+1*~(x|(~y|z))+4*~(~x|(~y|z))+3*(~x&(~y&z))+7*(~x&(y&z))+1*(x&(~y&z))+9*(x&(y&z)),6*(y^~(x|z))-2*(~(x|~y)|~(x^(y^z))),4*~(x|(y|z))-2*~(x|(~y|z))+4*~(~x|(~y|z))+4*(~x&(y&z))-2*(x&(~y&z))+6*(x&(y&z)),4*~(x|(y|z))-2*~(x|(~y|z))+4*~(~x|(~y|z))+4*(~x&(y&z))-2*(x&(~y&z))+6*(x&(y&z)),True,0.0019702911376953125
-1*(y&(x^z))-2*~(x&(~y|z))+2*~(x|(y|z))-8*~(~x|(~y|z))-9*(~x&(~y&z))+3*(~x&(y&z))-11*(x&(~y&z))-11*(x&(y&z)),-2*~(x|(~y|z))-11*((x&y)|~(y|~z)),-2*~(x|(~y|z))-11*~(~x|(~y|z))-11*(~x&(~y&z))-11*(x&(~y&z))-11*(x&(y&z)),-2*~(x|(~y|z))-11*~(~x|(~y|z))-11*(~x&(~y&z))-11*(x&(~y&z))-11*(x&(y&z)),True,0.0020134449005126953
-11*((x&y)|(x^(y^z)))+3*((x|~y)&(x^(y^z)))-1*~(x|(y|z))+10*~(x|(~y|z))+11*~(~x|(~y|z))+8*(~x&(~y&z))-1*(x&(~y&z))+7*(x&(y&z)),-1*~(x^z)-8*~(~x|(y|z)),-1*~(x|(y|z))-1*~(x|(~y|z))-8*~(~x|(y|z))-1*(x&(~y&z))-1*(x&(y&z)),-1*~(x|(y|z))-1*~(x|(~y|z))-8*~(~x|(y|z))-1*(x&(~y&z))-1*(x&(y&z)),True,0.001984119415283203
7*(z^(~x&(y|z)))+1*((y&~z)^(~x|(y^z)))-1*~(x|(y|z))-8*~(x|(~y|z))-1*~(~x|(~y|z))-1*(~x&(y&z))-8*(x&(~y&z))-7*(x&(y&z)),-1*(~(x&~y)&(y^z))+2*(~x&(~y&z)),-1*~(x|(~y|z))-1*~(~x|(~y|z))+1*(~x&(~y&z)),-1*~(x|(~y|z))-1*~(~x|(~y|z))+1*(~x&(~y&z)),True,0.001981496810913086
5*(~(x^y)&(x^z))-1*z-1*(~(x^y)|(x^z))+1*~(x|(y|z))+1*~(~x|(y|z))-4*~(~x|(~y|z))+1*(x&(~y&z))+2*(x&(y&z)),3*(~x&(~y&z))-2*(~x&(y&z)),3*(~x&(~y&z))-2*(~x&(y&z)),3*(~x&(~y&z))-2*(~x&(y&z)),True,0.001999378204345703
-6*((x^y)&(x^z))+1*((x|~y)&~(x^(y^z)))-2*~y+11*((y&~z)^(~x|(y^z)))-10*~(x|(y|z))-1*~(~x|(~y|z))-5*(~x&(y&z))-10*(x&(~y&z)),-8*~(~x|(y|z))+9*(~x&(~y&z)),-8*~(~x|(y|z))+9*(~x&(~y&z)),-8*~(~x|(y|z))+9*(~x&(~y&z)),True,0.0020406246185302734
-1*((x&z)^~(y&~z))+2*(y&~(x&~z))+1*~(x|(y|z))+1*~(~x|(y|z))+11*~(~x|(~y|z))+12*(~x&(~y&z))+10*(~x&(y&z))+9*(x&(y&z)),11*(y^(~x&(y^z)))+2*~(x|(~y|z)),2*~(x|(~y|z))+11*~(~x|(~y|z))+11*(~x&(~y&z))+11*(~x&(y&z))+11*(x&(y&z)),2*~(x|(~y|z))+11*~(~x|(~y|z))+11*(~x&(~y&z))+11*(~x&(y&z))+11*(x&(y&z)),True,0.0019550323486328125
-3*(y^z)-1*(z^(x&y))+2*((x^y)&(x^z))-2*~(~x|(y|z))+4*~(~x|(~y|z))+4*(~x&(~y&z))-1*(~x&(y&z))+4*(x&(~y&z)),-3*~(x|(~y|z)),-3*~(x|(~y|z)),-3*~(x|(~y|z)),True,0.0019631385803222656
-2*(~x&(y^z))+1*~(~x|(y^z))-3*(y^~(~x&(~y&z)))+3*~(x|(y|z))+2*~(x|(~y|z))+2*~(~x|(y|z))+2*(~x&(~y&z))+3*(x&(~y&z)),1*(x&(y&z)),1*(x&(y&z)),1*(x&(y&z)),True,0.0020008087158203125
3*(z^(~x&(~y|z)))-6*~(x|(y^z))-2*(x^z)+3*~(x|(y|z))+2*~(~x|(y|z))+2*~(~x|(~y|z))+2*(~x&(~y&z))+8*(~x&(y&z)),3*(x&(~y&z))+3*(x&(y&z)),3*(x&z),3*(x&z),True,0.0019981861114501953
3*(~z&~(x^y))+2*((x&y)|~(y^z))+4*(y^~(~x&(y^z)))-9*~(x|(y|z))+2*~(x|(~y|z))+1*~(~x|(~y|z))-4*(x&(~y&z))-2*(x&(y&z)),6*(z^(x|(y|z)))+2*(~x&(y&z)),6*~(x|(~y|z))+6*~(~x|(y|z))+6*~(~x|(~y|z))+2*(~x&(y&z)),6*~(x|(~y|z))+6*~(~x|(y|z))+6*~(~x|(~y|z))+2*(~x&(y&z)),True,0.001978158950805664
5*(~x&(y^z))+1*(x&(y^z))+1*((x&~y)|(x^(y^z)))-6*~(x|(~y|z))-1*~(~x|(y|z))-1*~(~x|(~y|z))-2*(x&(~y&z))-1*(x&(y&z)),6*(~x&(~y&z)),6*(~x&(~y&z)),6*(~x&(~y&z)),True,0.0019333362579345703
11*(y^(~x|(y|z)))+1*((y&~z)^(~x|(y^z)))-1*((x&~y)|~(x^(y^z)))+4*(z^(~x|(y&z)))-4*~(x|(~y|z))+1*~(~x|(y|z))+1*~(~x|(~y|z))-15*(x&(~y&z)),15*~(x|(y|z))+12*(~x&(~y&z)),15*~(x|(y|z))+12*(~x&(~y&z)),15*~(x|(y|z))+12*(~x&(~y&z)),True,0.0020651817321777344
-1*((x&z)^(x^(y&z)))+2*(~(x&~y)&~(y^z))+1*((y&~z)^(x|(y^z)))+1*~(~x|(~y|z))-1*(~x&(~y&z))-1*(~x&(y&z))-1*(x&(~y&z))-2*(x&(y&z)),2*~(x|(y|z)),2*~(x|(y|z)),2*~(x|(y|z)),True,0.002007007598876953
1*(~(x&y)&(x^(y^z)))-11*~(x|(y|z))-1*~(x|(~y|z))+1*~(~x|(y|z))-9*~(~x|(~y|z))-12*(~x&(~y&z))-9*(~x&(y&z))+2*(x&(~y&z)),2*(x^(y&z))-11*(x^(~y|z)),-11*~(x|(y|z))+2*~(~x|(y|z))-9*~(~x|(~y|z))-11*(~x&(~y&z))-9*(~x&(y&z))+2*(x&(~y&z)),-11*~(x|(y|z))+2*~(~x|(y|z))-9*~(~x|(~y|z))-11*(~x&(~y&z))-9*(~x&(y&z))+2*(x&(~y&z)),True,0.001972675323486328
3*(z&~(x&y))+3*(y^(x&z))+1*(y|~(x^z))-1*~(x|(y|z))-4*~(~x|(~y|z))-7*(~x&(y&z))-7*(x&(~y&z))-1*(x&(y&z)),3*(~x&(~y&z))+4*~(x|(~y|z)),4*~(x|(~y|z))+3*(~x&(~y&z)),4*~(x|(~y|z))+3*(~x&(~y&z)),True,0.001981973648071289
5*(z^(~x|(y|z)))-5*((x&~y)|(y^z))-7*~(x|(y|z))+5*~(~x|(y|z))-2*~(~x|(~y|z))+5*(~x&(~y&z))-2*(~x&(y&z))+3*(x&(~y&z)),-2*~(x^(y^z)),-2*~(x^(y^z)),-2*~(x^(y^z)),True,0.0019600391387939453
3*(y^(~x|(y^z)))+5*(y^(x|(~y|z)))-7*(z|~(x^y))-1*((y&~z)^(x|(y^z)))-1*~(x|(y|z))-5*~(x|(~y|z))+7*~(~x|(~y|z))+5*(x&(y&z)),-7*(~x&(y&z))+4*~(~x|(y|z)),4*~(~x|(y|z))-7*(~x&(y&z)),4*~(~x|(y|z))-7*(~x&(y&z)),True,0.001981973648071289
1*(z^~(~x|(~y&z)))-1*(y^~(x&(y^z)))-5*(y^~(~x&(y^z)))+5*~(x|(~y|z))+5*~(~x|(y|z))+6*(~x&(~y&z))-1*(~x&(y&z))+10*(x&(~y&z)),-12*~(x|(y|z))+6*(y^(~x|(y|z))),-6*~(x|(y|z))+6*(~x&(~y&z))+6*(x&(~y&z)),-6*~(x|(y|z))+6*(~x&(~y&z))+6*(x&(~y&z)),True,0.001992464065551758
-1*(~(x&y)&~(x^(y^z)))-6*(z^(x|~y))+10*~(x|(y|z))+9*~(~x|(y|z))+9*~(~x|(~y|z))+3*(~x&(~y&z))+4*(x&(~y&z))+3*(x&(y&z)),-10*(~x&(y&z))+3*(x|(~y|z)),3*~(x|(y|z))+3*~(~x|(y|z))+3*~(~x|(~y|z))+3*(~x&(~y&z))-7*(~x&(y&z))+3*(x&(~y&z))+3*(x&(y&z)),3*~(x|(y|z))+3*~(~x|(y|z))+3*~(~x|(~y|z))+3*(~x&(~y&z))-7*(~x&(y&z))+3*(x&(~y&z))+3*(x&(y&z)),True,0.0020318031311035156
-2*~z+2*((x&y)^~(x^(~y|z)))+1*(~x&(y|z))+2*~(x|(y|z))+5*~(x|(~y|z))-1*(~x&(~y&z))-1*(~x&(y&z))+4*(x&(~y&z)),6*((x^y)&~(x^z)),6*((x^y)&~(x^z)),6*((x^y)&~(x^z)),True,0.0019114017486572266
-7*(y^~(x&~z))+1*(z^(x|(y&z)))+7*(y^(x&z))+7*~(x|(y|z))-7*~(x|(~y|z))-1*~(~x|(y|z))-1*~(~x|(~y|z))-7*(~x&(y&z)),-6*(~x&(~y&z)),-6*(~x&(~y&z)),-6*(~x&(~y&z)),True,0.0019080638885498047
-11*(x^z)+5*(~x&(~y|z))-5*~(x|(y|z))-1*~(x|(~y|z))+10*~(~x|(y|z))+10*~(~x|(~y|z))+6*(~x&(y&z))-1*(x&(y&z)),-1*((x&y)|(x^(y^z)))-5*(~x&(~y&z)),-1*~(x|(~y|z))-1*~(~x|(y|z))-1*~(~x|(~y|z))-6*(~x&(~y&z))-1*(x&(y&z)),-1*~(x|(~y|z))-1*~(~x|(y|z))-1*~(~x|(~y|z))-6*(~x&(~y&z))-1*(x&(y&z)),True,0.0019638538360595703
